exp_id,n,config_name,short_label,E_enabled_count,metric,n_eff,median,ci_low,ci_high,delta_vs_baseline_median,delta_ci_low,delta_ci_high,delta_method,es_mad_vs_baseline
campaign_v3_union,128,baseline,Baseline,2,tilde_diff_kl,10,0.385870840777397,0.3274577623713809,0.4286021749009848,0.0,0.0,0.0,self,0.0
campaign_v3_union,128,full_action,Full-Action,24,tilde_frob,10,1.251331830038585,1.0745139603888585,1.3041731478095675,-0.09388221101181704,-0.2691355746391251,0.2228859459218715,paired,-0.9332515474445747
campaign_v3_union,128,full_action,Full-Action,24,tilde_sigma_pi,10,0.0778398849149502,0.0483438689730596,0.146095631231128,-10.170677618143097,-13.70391235963241,-4.520249369532671,paired,-4.589551584946595
campaign_v3_union,128,full_action,Full-Action,24,tilde_geo_r2,10,0.1237252130849515,0.0370154309368044,0.32802652823139095,0.027445360394729307,-0.0832431112613937,0.23181070900230333,paired,0.5972722328174993
campaign_v3_union,128,full_action,Full-Action,24,tilde_pla2_gap,10,0.5706386713659035,0.4593254790195716,0.8543472457375317,-0.23264971243539473,-0.2828200516458755,0.05330346569131347,paired,-2.8397005265725337
campaign_v3_union,128,full_action,Full-Action,24,tilde_diff_kl,10,0.5717666855024304,0.3946857638628216,0.6552229409266104,0.19412303296947653,-0.04097193269365368,0.30947423218079645,paired,3.407029327231057
campaign_v3_union,128,full_all,Full-All,25,tilde_frob,10,1.070717725341455,0.9613550370046517,1.4585528700713162,-0.17571473827959894,-0.38331212144124216,0.41577031464369973,paired,-2.415972629310668
campaign_v3_union,128,full_all,Full-All,25,tilde_sigma_pi,10,0.0628033940676902,0.022084221669262376,0.16533546111515457,-9.728892905327733,-13.905924887268915,-4.524381422786628,paired,-4.586076819933519
campaign_v3_union,128,full_all,Full-All,25,tilde_geo_r2,10,0.11504922959007524,0.0561407411763642,0.157344563444374,0.011404358285425253,-0.06722904833950132,0.068085972067947,paired,0.7711724810090193
campaign_v3_union,128,full_all,Full-All,25,tilde_pla2_gap,10,0.45024255156611503,0.3267481368943857,0.724931671925968,-0.2922264652768533,-0.4694448802118078,-0.08651043770002387,paired,-3.5629133663904815
campaign_v3_union,128,full_all,Full-All,25,tilde_diff_kl,10,0.6423775346969433,0.3109577495427889,0.7891754910773987,0.3028881606098001,-0.12168514888745643,0.4017483364338347,paired,1.9979479586922573
campaign_v3_union,128,gen6_core_A12_A25,Gen6-core,8,tilde_frob,10,1.2985754004863916,1.0293535297509515,1.4046107047500376,0.05452086897507169,-0.1397251220088791,0.09742309016916195,paired,-0.19734357539952918
campaign_v3_union,128,gen6_core_A12_A25,Gen6-core,8,tilde_sigma_pi,10,2.215209817492624,0.3802188414364316,5.847469706013799,-5.660301111074633,-10.279834422674238,-2.4424113019087392,paired,-2.5798602193989075
campaign_v3_union,128,gen6_core_A12_A25,Gen6-core,8,tilde_geo_r2,10,0.20606358057135915,0.1375390410984021,0.262128932345596,0.0779258096948572,0.03860459597378421,0.1383159477772421,paired,3.1862141718161188
campaign_v3_union,128,gen6_core_A12_A25,Gen6-core,8,tilde_pla2_gap,10,0.7112005376695821,0.584089130356769,0.9334170455529248,-0.03065832461607637,-0.2172460084077968,0.11939643278131501,paired,-0.9638553563303345
campaign_v3_union,128,gen6_core_A12_A25,Gen6-core,8,tilde_diff_kl,10,0.4744206305571887,0.3920527866001756,0.5228688849783003,0.12277680906723429,0.00532284087709578,0.16156400696594,paired,1.8579134278635057
campaign_v3_union,256,empty,Null,0,tilde_frob,10,0.1707375721743319,0.1675683818642406,0.1738234030438715,-0.6259003705423564,-0.6458872064488963,-0.6006333176058098,paired,-58.01044337995314
campaign_v3_union,256,empty,Null,0,tilde_sigma_pi,10,0.0549717843588799,0.0496239530881809,0.0639861041683132,-0.9726641923266838,-1.12159639654744,-0.7453719578873106,paired,-10.161168616039678
campaign_v3_union,256,empty,Null,0,tilde_geo_r2,10,0.12267933208561504,0.076517815571208,0.17162738212072334,-0.013146635786732752,-0.05991541106677571,0.013068341022741542,paired,-1.057282632660894
campaign_v3_union,256,empty,Null,0,tilde_pla2_gap,10,2.2812329545490098,2.248717462025052,2.3061963610304272,0.8827104277253391,0.8491360421630023,0.9558984931533492,paired,35.316871146934766
campaign_v3_union,256,empty,Null,0,tilde_diff_kl,10,0.02471721569579955,0.020372929241786852,0.030470302649152348,-0.13340785181150622,-0.2014212051930335,-0.1185405574043487,paired,-13.623778113133342
campaign_v3_union,256,baseline,Baseline,2,tilde_frob,10,0.798853385445621,0.7787200245597241,0.8179067539391377,0.0,0.0,0.0,self,0.0
campaign_v3_union,256,baseline,Baseline,2,tilde_sigma_pi,10,1.0280963568079173,0.8093580620556238,1.1786476155342085,0.0,0.0,0.0,self,0.0
campaign_v3_union,256,baseline,Baseline,2,tilde_geo_r2,10,0.15262430146473255,0.1293286346324191,0.1623082572651586,0.0,0.0,0.0,self,0.0
campaign_v3_union,256,baseline,Baseline,2,tilde_pla2_gap,10,1.3878285429067847,1.336185981481973,1.4104335428808383,0.0,0.0,0.0,self,0.0
campaign_v3_union,256,baseline,Baseline,2,tilde_diff_kl,10,0.1604435469504551,0.1519065634627561,0.2204313271626711,0.0,0.0,0.0,self,0.0
campaign_v3_union,256,full_action,Full-Action,24,tilde_frob,10,1.259843952101594,1.163598190549013,1.3846232101056843,0.46924647000647723,0.4044492661416192,0.5741394434759397,paired,8.778191123400635
campaign_v3_union,256,full_action,Full-Action,24,tilde_sigma_pi,10,0.029578558127987202,0.019778833036353298,0.036647935257263745,-0.9834423242027548,-1.1645972185148088,-0.7769833136189842,paired,-10.336698726277488
campaign_v3_union,256,full_action,Full-Action,24,tilde_geo_r2,10,0.2232924738585472,0.0580364059430444,0.3416054773803119,0.06345862227207524,-0.0858805611062145,0.2235912606185956,paired,1.0866329479119776
campaign_v3_union,256,full_action,Full-Action,24,tilde_pla2_gap,10,0.6187599560830664,0.5312608360052534,0.7932419337532117,-0.7330399352580295,-0.8641608790610971,-0.5752103606521783,paired,-11.598587704809278
campaign_v3_union,256,full_action,Full-Action,24,tilde_diff_kl,10,0.5777387851625859,0.3693141555646191,0.7737908059855724,0.3725150498313578,0.21365968670822078,0.5936231985073404,paired,3.8164923357097096
campaign_v3_union,256,full_all,Full-All,25,tilde_frob,10,1.1876694371427572,1.1172306874550197,1.289187492434957,0.37917370922426125,0.3433569412963622,0.4776442285403538,paired,8.151515344978751
campaign_v3_union,256,full_all,Full-All,25,tilde_sigma_pi,10,0.0266927160633584,0.0183907561100786,0.03159525815442205,-1.009521996827575,-1.1555368321187602,-0.7769833136189842,paired,-10.552977330118598
campaign_v3_union,256,full_all,Full-All,25,tilde_geo_r2,10,0.16013056877389303,0.0864055061626735,0.18513293932474206,0.006051600617527499,-0.04797862904581539,0.0498695650590737,paired,0.2589084213372074
campaign_v3_union,256,full_all,Full-All,25,tilde_pla2_gap,10,0.5048800645448759,0.4334328580497648,0.5823958271464843,-0.8539681643357737,-0.9662244502982615,-0.7592381269152662,paired,-17.733331492118083
campaign_v3_union,256,full_all,Full-All,25,tilde_diff_kl,10,0.6506965692783913,0.5825585832466855,0.7226750898382801,0.43332066521423074,0.3935442536511199,0.5229727725301022,paired,11.445321931387864
campaign_v3_union,256,gen6_core_A12_A25,Gen6-core,8,tilde_frob,0,nan,nan,nan,nan,nan,nan,unpaired,nan
campaign_v3_union,256,gen6_core_A12_A25,Gen6-core,8,tilde_sigma_pi,0,nan,nan,nan,nan,nan,nan,unpaired,nan
campaign_v3_union,256,gen6_core_A12_A25,Gen6-core,8,tilde_geo_r2,0,nan,nan,nan,nan,nan,nan,unpaired,nan
campaign_v3_union,256,gen6_core_A12_A25,Gen6-core,8,tilde_pla2_gap,0,nan,nan,nan,nan,nan,nan,unpaired,nan
campaign_v3_union,256,gen6_core_A12_A25,Gen6-core,8,tilde_diff_kl,0,nan,nan,nan,nan,nan,nan,unpaired,nan
